scope,requirement,status,metric_name,metric_value,threshold,evidence,blocking_gap,notes
global,stage_probe_source_budget_audit,satisfied,rows|block_count|max_ratio_deviation|max_source_l2,6|6|3.331e-16|4.176e-10,6 rows | 6 blocks | ratio deviation <1e-9 | finite source budget,cylindrical_chain_endpoint_tfe_stage_probe_source_budget_audit.csv,,"The source-budget audit compresses the 36 boundary-source rows into six case/h rows, verifies the aggregate lifted L2 budget, and identifies which source family should be derived first in the full-TFE weak-row implementation."
global,stage_probe_dominant_source_split_audit,satisfied,rows|component_count|max_ratio_deviation|dominant_components,24|4|2.220e-16|body0_translational_balance_source,24 rows | 4 components | ratio deviation <1e-9 | finite dominance,cylindrical_chain_endpoint_tfe_stage_probe_dominant_source_split_audit.csv,,"The dominant-source split audit decomposes the Newton-Euler weak-balance source into translational and rotational body components, preserving the exact stage lift check while identifying which derived weak-balance equations should be implemented first."
global,solved_non_equivalent_stage_probe_audit,satisfied,rows|max_residual|max_probe_norm,6|2.192e-12|8.383e-11,6 rows | residual <1e-9 | finite probe,cylindrical_chain_endpoint_tfe_stage_non_equivalent_solved_probe_audit.csv,,"The endpoint-boundary probe is now included in the stage equations and solved over the smooth/sharp h-sweep. It proves the non-equivalent term is numerically solvable, while the derived full-TFE weak residual remains the missing method step."
global,stage_probe_order_audit,satisfied,rows|min_order|max_gap,12|3.918e+00|7.744e-11,12 rows | finite blockwise orders | finite gap,cylindrical_chain_endpoint_tfe_stage_probe_order_audit.csv,,The blockwise order audit identifies how the non-equivalent endpoint-boundary probe scales across the six independent stage row families. It supplies derivation guidance for the missing full-TFE stage residual but does not itself close that requirement.
global,stage_probe_homotopy_solvability_audit,satisfied,rows|max_residual|max_probe_norm,30|4.029e-15|2.348e-11,30 rows | residual <1e-9 | finite probe,cylindrical_chain_endpoint_tfe_stage_probe_homotopy_audit.csv,,The one-step beta path solves beta=0 through beta=1 over smooth/sharp h-sweeps. It verifies continuation robustness for the bridge term while the derived full-TFE stage residual remains open.
global,stage_probe_block_activation_solvability_audit,satisfied,rows|max_residual|max_probe_norm,36|1.696e-15|2.177e-11,36 rows | residual <1e-9 | finite isolated block probe,cylindrical_chain_endpoint_tfe_stage_probe_block_activation_audit.csv,,"Each weak/TFE row family has now been activated alone in the square stage residual over the smooth/sharp h-sweep. This supplies block-level solvability evidence for the next derived weak-row implementation, but it is still not a full-TFE stage residual."
global,stage_probe_component_activation_solvability_audit,satisfied,rows|target_component|max_residual|max_probe_norm,6|body0_translational_balance_source|1.195e-15|2.006e-11,6 rows | body0 translational target | residual <1e-9 | finite isolated component probe,cylindrical_chain_endpoint_tfe_stage_probe_component_activation_audit.csv,,The dominant body0 translational Newton-Euler source component is activated by itself in the square stage residual. This refines block-level solvability to a 9-row weak-balance component target while preserving the full-TFE replacement caveat.
global,stage_probe_component_formula_audit,satisfied,rows|target_component|max_residual|max_formula_vs_generic,6|body0_translational_balance_source|1.258e-15|0.000e+00,6 rows | body0 translational formula | residual <1e-9 | generic equivalence <1e-12,cylindrical_chain_endpoint_tfe_stage_probe_component_formula_audit.csv,,The target component is now inserted by an explicit formula instead of by masking the generic probe vector. This moves the derived weak-balance implementation forward while leaving the full stage residual and acceptance gate open.
global,stage_probe_newton_euler_formula_audit,satisfied,rows|block|max_residual|max_formula_vs_generic,6|newton_euler_weak_balance|1.265e-15|0.000e+00,6 rows | Newton-Euler block formula | residual <1e-9 | generic equivalence <1e-12,cylindrical_chain_endpoint_tfe_stage_probe_newton_euler_formula_audit.csv,,The 12D Newton-Euler weak-balance block is now inserted by an explicit formula instead of by masking the generic probe vector. This advances the derived weak-balance implementation from one component to the full block while leaving the remaining stage row families and full acceptance gate open.
global,stage_probe_all_source_formula_audit,satisfied,rows|block_count|max_residual|max_formula_vs_generic,6|6|4.029e-15|0.000e+00,6 rows | 6 source families | residual <1e-9 | generic equivalence <1e-12,cylindrical_chain_endpoint_tfe_stage_probe_all_source_formula_audit.csv,,All six endpoint-boundary source families are now inserted by explicit formulas into the 132-row stage-major probe. This verifies the current source model end to end while leaving the derived full TFE stage functional and acceptance gate open.
global,stage_probe_all_source_trajectory_bridge_audit,satisfied,rows|max_residual|max_position_error,6|2.192e-12|9.452e-06,6 rows | residual <1e-9 | finite same-formula reference error,cylindrical_chain_endpoint_tfe_stage_probe_all_source_trajectory_bridge_audit.csv,,The direct all-source endpoint-boundary formula is now solved as full trajectories over the accepted h-sweep and compared with same-formula references. This is trajectory-level bridge evidence while the derived full-TFE weak stage functional remains open.
global,stage_probe_coupled_budget_audit,satisfied,rows|max_ratio_deviation|max_solved_over_beta1,6|1.480e-02|1.292e+02,6 rows | ratio deviation <0.1 | finite solved/beta1 ratio,cylindrical_chain_endpoint_tfe_stage_probe_coupled_budget_audit.csv,,The coupled-budget audit shows the full one-step beta=1 probe is explained by the L2 budget of the isolated weak/TFE row-family activations. It supplies block-coupling evidence for the missing derived weak residual while leaving full TFE replacement open.
global,stage_probe_trajectory_accumulation_audit,satisfied,rows|max_solved_over_beta1|max_per_step,6|1.292e+02|1.615e+01,6 rows | finite accumulation ratios,cylindrical_chain_endpoint_tfe_stage_probe_trajectory_accumulation_audit.csv,,The trajectory-accumulation audit quantifies solved h-sweep probe growth relative to the local one-step beta=1 probe. It explains why block-coupling evidence is still not a derived full-TFE stage residual.
global,stage_probe_beta_trajectory_bridge_audit,satisfied,rows|beta_count|max_residual|max_probe_norm,18|3|2.192e-12|8.383e-11,18 rows | 3 beta values | residual <1e-9 | finite probe,cylindrical_chain_endpoint_tfe_stage_probe_beta_trajectory_bridge_audit.csv,,"The beta-trajectory bridge advances the beta homotopy from one-step evidence to full-trajectory h-sweeps for beta=0,0.5,1. It is readiness evidence for the derived weak residual, not the full TFE replacement itself."
global,paper_tfe_multiplier_policy_audit,satisfied,lambda_x_dim|lambda_yz_dim|extra_rows,24|48|0,24 | 48 | 0,cylindrical_chain_endpoint_tfe_paper_multiplier_policy_audit.csv,,"The paper derivative operator carries lambda_y/lambda_z because lambda is part of the augmented x vector. The policy audit fixes that v047 stage force-balance rows consume lambda_x values, while lambda_y/lambda_z do not create standalone residual rows unless a later paper-row derivation requires them. This removes a policy ambiguity but does not substitute the paper stage residual."
global,paper_tfe_kinematic_formula_audit,satisfied,components|stage_rows|max_formula_residual,4|72|7.258e-18,4 components | 72 rows | residual <1e-10,cylindrical_chain_endpoint_tfe_paper_kinematic_formula_audit.csv,,"The paper x-to-y/z operator is now specialized to the v047 translational and Lie kinematic rows: v-y_r, J_r(u)^{-1}w-y_u, a-z_r, and d/dt[J_r(u)^{-1}w]-z_u. This is formula evidence only; it does not substitute those rows into Newton and leaves dynamics/constraint formulas open."
global,paper_tfe_balance_constraint_formula_audit,satisfied,components|stage_rows|max_formula_residual,2|60|4.337e-19,2 components | 60 rows | residual <1e-10,cylindrical_chain_endpoint_tfe_paper_balance_constraint_formula_audit.csv,,"The paper x/y/z/lambda operator is now specialized to the remaining Newton-Euler and lower-pair constraint row families. This closes formula coverage for all six paper row-family targets, but it still does not substitute those rows into Newton or run the accepted replacement h-sweep."
global,paper_tfe_residual_substitution_contract_audit,satisfied,rows|formula_present|substituted,6|6|6,6 | 6 | 6 diagnostic-substituted rows still need accepted h-sweep,cylindrical_chain_endpoint_tfe_paper_residual_substitution_contract_audit.csv,,"The contract fixes six paper row-family substitution targets with paper inputs, multiplier policy, and stage-local replacement targets mapped. It now records all six derived paper formulas from the kinematic and balance/constraint formula audits. Candidate residuals may substitute position, kinematic, or all row families, but the accepted h-sweep remains open."
global,paper_tfe_position_row_substitution_candidate,partial,families|stage_rows|max_residual|smooth_orders|sharp_orders,2|36|5.682e-12|1.227/0.731|1.165/2.464,2 families | 36 rows | residual <1e-9 | accepted orders still pending,cylindrical_chain_endpoint_tfe_paper_position_substitution_candidate_audit.csv,Extend substitution to velocity/dynamics/constraint rows and recover accepted h-sweep order.,This is the first actual paper-row Newton residual substitution: the translational and Lie position row slots are replaced by the paper y-row formulas and solved over the smooth/sharp h-sweep with full-rank Jacobians. It remains partial because the observed order is limited and four row families are still not substituted.
global,paper_tfe_kinematic_row_substitution_candidate,partial,families|stage_rows|max_residual|max_condition|smooth_orders|sharp_orders,4|72|9.573e-12|8.810e+11|1.406/1.542|1.400/1.237,4 families | 72 rows | residual <1e-9 | accepted z0/order still pending,cylindrical_chain_endpoint_tfe_paper_kinematic_substitution_candidate_audit.csv,"Replace the diagnostic z0 policy, add dynamics/constraint rows, and recover accepted h-sweep order.","This extends actual paper-row Newton residual substitution from the two position rows to all four kinematic rows. It remains partial because the start acceleration z0 policy is diagnostic, the observed order is limited, the Jacobian is ill-conditioned, and the Newton-Euler/lower-pair row families are still not substituted."
global,paper_tfe_all_row_substitution_candidate,partial,families|stage_rows|max_residual|max_condition|smooth_orders|sharp_orders,6|132|9.644e-12|1.619e+13|1.406/1.542|1.400/1.237,6 families | 132 rows | residual <1e-9 | accepted z0/order still pending,cylindrical_chain_endpoint_tfe_paper_all_row_substitution_candidate_audit.csv,"Replace the diagnostic z0 policy, recover accepted h-sweep order, and then attach the replacement to the full acceptance gate.","This candidate substitutes all six paper row families into one 132-row Newton residual. It remains partial because the start acceleration z0 policy is diagnostic, the observed h-sweep order is limited, and the conditioning caveat remains large."
global,paper_tfe_all_row_gauss_z0_substitution_candidate,partial,families|stage_rows|max_residual|max_condition|max_z0_delta|smooth_orders|sharp_orders,6|132|7.697e-12|1.583e+13|1.688e+01|1.410/1.573|1.395/1.170,6 families | 132 rows | residual <1e-9 | z0 sensitivity quantified,cylindrical_chain_endpoint_tfe_paper_all_row_gauss_z0_substitution_candidate_audit.csv,Replace the diagnostic Gauss-extrapolated z0 by a paper-derived recurrent start policy and recover accepted h-sweep order.,This diagnostic repeats the all-row substitution but replaces the axis-projected start acceleration with a baseline Gauss-stage extrapolated z0. It isolates whether the previous low order is mainly a start-policy artifact; it remains partial because the start policy is still diagnostic and the full replacement gate is not accepted.
global,paper_tfe_all_row_gauss_z0_terminal_output_candidate,partial,families|stage_rows|max_residual|max_condition|max_terminal_pos_delta|smooth_orders|sharp_orders,6|132|9.202e-12|1.583e+13|3.194e-03|2.494/1.780|1.029/0.107,6 families | 132 rows | residual <1e-9 | terminal-output sensitivity quantified,cylindrical_chain_endpoint_tfe_paper_all_row_gauss_z0_terminal_output_audit.csv,Replace the diagnostic output/start policies by a paper-derived recurrent TFE step and recover accepted h-sweep order.,"This diagnostic keeps the all-row Gauss-z0 residual but advances the state from the terminal paper Lobatto node instead of interpreting the same solved stages through the Gauss output map. It isolates node-output semantics, but remains partial until order, conditioning, and the recurrent paper start policy are accepted."
global,paper_tfe_all_row_recurrent_z0_terminal_output_candidate,partial,families|stage_rows|max_residual|max_condition|max_used_z0_delta|smooth_orders|sharp_orders,6|132|9.087e-12|1.583e+13|4.164e-01|4.557/4.667|2.579/1.925,6 families | 132 rows | residual <1e-9 | recurrent-z0 sensitivity quantified,cylindrical_chain_endpoint_tfe_paper_all_row_recurrent_z0_terminal_output_audit.csv,"Remove the Gauss bootstrap, recover accepted h-sweep order, and reduce the conditioning caveat.","This diagnostic keeps the all-row residual and terminal paper-node output, but feeds each terminal paper z value into the next step as z0 after one Gauss bootstrap. It moves the start policy closer to a recurrent paper step, but remains partial because bootstrap, order, and conditioning caveats remain."
global,paper_tfe_all_row_consistent_z0_terminal_output_candidate,partial,families|stage_rows|max_residual|max_condition|bootstrap_steps|initial_z0_residual|smooth_orders|sharp_orders,6|132|9.786e-12|1.583e+13|0|5.942e-15|4.046/4.420|2.554/1.918,6 families | 132 rows | residual <1e-9 | bootstrap count 0 | initial z0 residual <1e-10,cylindrical_chain_endpoint_tfe_paper_all_row_consistent_z0_terminal_output_audit.csv,Recover accepted h-sweep order and reduce the severe all-row stage conditioning caveat.,"This diagnostic solves the instantaneous acceleration/multiplier system for the initial paper z0, then advances with recurrent terminal paper z values. It removes the Gauss bootstrap from the start policy, but remains partial because the accepted order and conditioning gates are still open."
global,paper_tfe_all_row_consistent_z0_conditioning_audit,partial,rows|max_raw_condition|max_iterative_condition|min_singular|dominant_left|dominant_right,6|1.583e+13|5.066e+04|6.842e-09|{'lower_pair_index3_weak_constraints': 6}|{'lower_pair_lambda': 6},6 rows | residual <1e-9 | full rank | conditioning quantified,cylindrical_chain_endpoint_tfe_paper_all_row_consistent_z0_conditioning_audit.csv,Turn the localized near-null row/variable family evidence into a scaled or reformulated accepted full-TFE h-sweep.,"This audit keeps the consistent-z0 all-row residual fixed and decomposes the converged Jacobian conditioning by row and unknown families. It advances the full-TFE blocker diagnosis, but remains partial because it is not itself an accepted h-sweep method."
global,paper_tfe_all_row_consistent_z0_scaled_newton_audit,partial,families|stage_rows|max_residual|max_raw_condition|max_scaled_condition|max_reduction|smooth_orders|sharp_orders,6|132|8.782e-12|1.583e+13|5.126e+04|3.804e+08|4.046/4.420|2.554/1.918,6 families | 132 rows | residual <1e-9 | scaled Newton h-sweep diagnostic,cylindrical_chain_endpoint_tfe_paper_all_row_consistent_z0_scaled_newton_audit.csv,Use the scaled linear solve evidence to decide whether the next full-TFE attempt needs formulation changes beyond equilibration.,This audit solves the same consistent-z0 all-row paper residual with iterative row/column equilibration inside Newton. It tests whether the severe all-row condition number is merely a linear-solve scaling artifact. It remains partial unless the observed h-sweep order becomes an accepted full-TFE replacement.
global,paper_tfe_family_ablation_audit,partial,rows|variants|max_residual|max_raw_condition|max_scaled_condition|min_delta_orders|dominant_left|dominant_right,12|2|7.286e-12|1.583e+13|1.385e+05|7.749/6.140|{'lower_pair_index3_weak_constraints': 12}|{'lower_pair_lambda': 12},12 rows | two five-family variants | residual <1e-9 | family blocker localized,cylindrical_chain_endpoint_tfe_paper_family_ablation_audit.csv,Use the five-family comparison to reformulate the lower-pair/lambda rows before claiming a six-family full-TFE replacement.,"This audit solves consistent-z0 paper residuals with either Newton-Euler or lower-pair rows held out of the six-family substitution. It separates formulation effects from the scaled linear solve, but remains partial because it is an ablation rather than a full six-family method."
global,paper_tfe_lower_pair_lambda_schur_audit,partial,rows|max_residual|max_full_raw|max_schur_condition|min_schur_rank|left_lower|right_lambda,6|7.033e-12|1.583e+13|5.982e+03|24|1.000|0.883,6 rows | residual <1e-9 | lower-pair/lambda Schur diagnostic present,cylindrical_chain_endpoint_tfe_paper_lower_pair_lambda_schur_audit.csv,Use the lower-pair/lambda Schur block evidence to reformulate the algebraic constraint rows before accepting full TFE.,"This audit partitions the same solved six-family paper Jacobian into lower-pair rows and lambda columns, then forms a Schur complement after eliminating the other variables. It localizes the reduced algebraic blocker but remains partial because it is not a replacement method h-sweep."
global,paper_tfe_lower_pair_row_variant_audit,partial,rows|variants|successful_variants|best_variant|max_residual|best_max_schur|max_schur_condition,"18|3|['position_constraint', 'velocity_constraint', 'acceleration_constraint']|acceleration_constraint|7.286e-12|9.707e+01|5.982e+03",18 rows | position/velocity/acceleration lower-pair formulas | diagnostic present,cylindrical_chain_endpoint_tfe_paper_lower_pair_row_variant_audit.csv,Use the row-variant comparison to choose a lower-pair residual formulation and rerun an accepted full-TFE h-sweep.,"This audit changes only the lower-pair row formula inside the same six-family paper residual. It compares position-, velocity-, and acceleration-level constraints so the next full-TFE attempt can target the residual formulation rather than the Newton solve ordering."
global,paper_tfe_lower_pair_acceleration_terminal_output_audit,partial,families|stage_rows|max_residual|max_raw_condition|max_scaled_condition|smooth_orders|sharp_orders,6|132|8.349e-12|4.368e+08|5.830e+03|4.937/4.799|2.555/1.918,6 families | 132 rows | residual <1e-9 | full-trajectory acceleration lower-pair diagnostic,cylindrical_chain_endpoint_tfe_paper_lower_pair_acceleration_terminal_output_audit.csv,Use the full-trajectory acceleration-row evidence to decide whether the lower-pair formulation can be accepted or needs a new paper derivation.,This audit promotes the best lower-pair row variant from one-step Schur diagnostics to complete terminal-output trajectories over the smooth/sharp h-sweep. It remains partial because it is not yet an accepted full-TFE replacement proof.
global,paper_tfe_lower_pair_acceleration_terminal_velocity_closure_audit,partial,retained_rows|inserted_rows|max_closure|max_terminal_velocity|smooth_orders|sharp_orders,124|8|9.734e-12|5.802e-16|3.459/4.838|2.555/1.918,124 retained paper rows | 8 terminal velocity rows | raw velocity <1e-10,cylindrical_chain_endpoint_tfe_paper_lower_pair_acceleration_terminal_velocity_closure_audit.csv,Replace the terminal row-replacement closure with derived full-TFE stage rows that close terminal velocity without sacrificing an accepted h-sweep.,"This diagnostic keeps 124 paper lower-pair acceleration rows and replaces only the final eight terminal lower-pair rows with weighted raw endpoint-velocity constraints. It proves projection-free terminal velocity closure on the paper terminal node, but remains partial because those terminal rows are inserted as a row replacement rather than derived from the full TFE stage functional."
global,paper_tfe_lower_pair_acceleration_terminal_row_homotopy_audit,partial,rows|beta_count|max_residual|beta0_velocity|beta1_velocity,30|5|6.224e-12|2.337e-10|1.288e-12,"30 rows | beta=[0,0.25,0.5,0.75,1] | residual <1e-9 | beta=1 velocity <1e-10",cylindrical_chain_endpoint_tfe_paper_lower_pair_acceleration_terminal_row_homotopy_audit.csv,Promote the continuation path into a derived full-TFE residual instead of ending at terminal-row replacement.,"The homotopy connects terminal lower-pair acceleration rows to terminal endpoint-velocity rows with full-rank one-step solves across the smooth/sharp h-sweep. It strengthens solvability evidence for the lower-pair closure target, but beta=1 is still a terminal-row replacement, not a derived full-TFE stage residual."
global,paper_tfe_lower_pair_terminal_source_target_audit,partial,target_rows|max_velocity_reduction|max_replaced_row_norm,24|3.863e+10|2.528e-04,24 stage-local lower-pair rows | velocity reduction >1 | replaced norm >0,cylindrical_chain_endpoint_tfe_paper_lower_pair_terminal_source_target_audit.csv,Derive a stage-local lower-pair weak residual/source that closes terminal velocity without replacing terminal rows.,This audit converts the terminal row-replacement diagnostic into a stage-local lower-pair source target: eight terminal closure rows correspond to a 24-row lower-pair block across the three paper stages. It remains partial because the target is quantified but not yet derived as a full-TFE residual.
global,paper_tfe_lower_pair_terminal_source_lift_audit,partial,lifted_rows|max_lift_norm|max_lift_ratio_deviation,24|5.056e-05|2.220e-16,24 stage-local lower-pair rows | sqrt(h*b_i) lift | ratio deviation <1e-12,cylindrical_chain_endpoint_tfe_paper_lower_pair_terminal_source_lift_audit.csv,Substitute the lifted lower-pair source into the Newton residual and prove accepted h-sweep order.,This audit turns the terminal source target into an explicit sqrt(h*b_i) stage-local lift over the 24 lower-pair rows. It remains partial because the lifted source has not yet replaced the terminal-row closure inside the full TFE Newton residual.
global,paper_tfe_lower_pair_terminal_source_normalization_audit,partial,ready_rows|max_raw_reconstruction_relerr|max_normalized_reconstruction_relerr|max_normalized_source,6|9.473e-01|0.000e+00|2.398e-03,6 rows | normalized terminal-stage reconstruction relative error <1e-12,cylindrical_chain_endpoint_tfe_paper_lower_pair_terminal_source_normalization_audit.csv,Insert the normalized lower-pair source into the Newton residual and prove accepted h-sweep order.,This audit fixes the terminal lower-pair source normalization needed for residual substitution: the terminal row vector must be divided by sqrt(h*b_terminal) before applying the sqrt(h*b_i) stage lift. It remains partial because the normalized source is not yet solved inside the full TFE Newton residual.
global,paper_tfe_lower_pair_terminal_source_insertion_audit,partial,rows|newton_converged|min_residual|max_residual|max_endpoint_velocity|best_sign,12|12|3.998e-13|9.769e-12|2.805e-09|-1.0,12 sign/case/h rows | normalized source inserted into Newton residual | full=false,cylindrical_chain_endpoint_tfe_paper_lower_pair_terminal_source_insertion_audit.csv,Convert the source-insertion attempt into an accepted trajectory h-sweep and remove endpoint-boundary source dependence.,This audit is the first direct Newton-residual insertion of the normalized terminal lower-pair source. It remains partial because it is a one-step sign/h diagnostic and not yet an accepted full-TFE trajectory replacement.
global,paper_tfe_lower_pair_terminal_source_insertion_trajectory_audit,partial,rows|min_order|max_residual|max_endpoint_velocity|ready_steps|converged_steps,6|nan/nan|9.748e-12|7.412e+00|28/6|28,6 trajectory rows | same-policy h=0.005 reference | full=false,cylindrical_chain_endpoint_tfe_paper_lower_pair_terminal_source_insertion_trajectory_audit.csv,Remove terminal-row source dependence and promote the source-inserted trajectory sweep to accepted full-TFE order.,This audit moves the source-inserted residual from a one-step sign/h diagnostic to a full trajectory h-sweep against the same policy at h=0.005. It remains partial because the source is still generated from the terminal velocity-closure diagnostic rather than an independent full-TFE stage functional.
global,paper_tfe_lower_pair_terminal_source_insertion_blowup_audit,partial,rows|blowup_rows|max_mid_to_fine|max_coarse_to_fine|min_power|dominant,14|12|7.339e+03|4.936e+05|-9.456|cylindrical_smooth:max_normalized_source_norm,14 metric rows | blow-up quantified | accepted h-sweep still pending,cylindrical_chain_endpoint_tfe_paper_lower_pair_terminal_source_insertion_blowup_audit.csv,Replace the closure-derived source policy with an independent bounded stage-local source before claiming full TFE.,"This post-processes the source-inserted trajectory h-sweep and separates residual convergence from refinement stability. It remains partial because it is a failure localization audit, not an accepted full-TFE trajectory method."
global,paper_tfe_lower_pair_terminal_source_bounded_policy_audit,partial,rows|rejected_source_metrics|max_missing_power|max_excess_power|h2_insufficient,14|10|9.456|6.452|12,14 metric rows | bounded source target quantified | full=false,cylindrical_chain_endpoint_tfe_paper_lower_pair_terminal_source_bounded_policy_audit.csv,Derive a bounded stage-local lower-pair TFE source formula instead of empirically rescaling the terminal closure source.,"This converts the blow-up audit into a bounded-policy target. It records that simple extra sqrt(h), h, or h^2 scaling is insufficient for the dominant source metrics, so the next method step must remove terminal-closure source dependence rather than tune the source scale."
global,paper_tfe_lower_pair_stage_local_bounded_source_formula_audit,partial,rows|local_bounded|recurrent_unbounded|min_local_power|min_recurrent_power,6|6|6|0.426|-9.456,6 case/h rows | local source bounded | recurrent policy unbounded | full=false,cylindrical_chain_endpoint_tfe_paper_lower_pair_stage_local_bounded_source_formula_audit.csv,Derive a recurrent bounded stage-local lower-pair TFE source formula instead of regenerating the source from terminal velocity closure at every step.,"This audit separates the local scale formula from trajectory recurrence. The initial one-step source formula terminal_row/sqrt(h*b_terminal) is bounded across the h-sweep, but the recurrent terminal-closure source used by the trajectory diagnostic is unbounded, so it remains partial."
global,paper_tfe_lower_pair_direct_endpoint_velocity_source_audit,partial,rows|min_order|min_source_power|max_source|max_terminal_velocity|closure_used,6|2.555/1.918|0.307|8.118e-06|7.969e-06|False,6 trajectory rows | direct endpoint source bounded | terminal closure not used | full=false,cylindrical_chain_endpoint_tfe_paper_lower_pair_direct_endpoint_velocity_source_audit.csv,Fold the bounded direct endpoint-velocity source into an independently derived paper TFE stage functional.,"This audit replaces the recurrent terminal-closure source policy with the raw endpoint-velocity constraint evaluated on the acceleration-predictor terminal Lobatto node. It is bounded over the trajectory h-sweep and avoids terminal-row closure as a source generator, but remains partial because it is still endpoint-boundary-derived rather than the final paper stage functional."
global,paper_tfe_lower_pair_direct_source_residual_substitution_audit,partial,rows|min_order|max_balance|max_source|substituted_steps|endpoint_source_removed,6|2.555/1.918|1.821e-13|8.118e-06|28|False,6 trajectory rows | raw lower-pair + lifted direct source verified | full=false,cylindrical_chain_endpoint_tfe_paper_lower_pair_direct_source_residual_substitution_audit.csv,Derive the same bounded lower-pair source from the independent paper TFE stage functional instead of endpoint-boundary data.,"This audit verifies that the bounded direct endpoint source is algebraically compatible with the lower-pair paper stage residual: at the source-inserted solution, the raw lower-pair acceleration rows plus sqrt(h*b_i)*C_v vanish to Newton tolerance. It is still partial because C_v is endpoint-boundary-derived."
global,paper_tfe_lower_pair_residual_derived_stage_source_audit,partial,rows|min_order|max_vs_direct|max_stage_consistency|max_balance|endpoint_source_used,6|2.555/1.918|1.289e-12|1.406e-14|0.000e+00|True,6 trajectory rows | C_hat_i=-R_i/(sqrt(h*b_i)) matches direct C_v | full=false,cylindrical_chain_endpoint_tfe_paper_lower_pair_residual_derived_stage_source_audit.csv,Use the residual-derived stage source inside an independent source-free paper TFE stage residual.,This audit reconstructs a stage-local source from the raw lower-pair residual rows and verifies that the recovered C_hat_i is stage-consistent and matches the direct endpoint source. It remains partial because the trajectory is still generated with the direct endpoint source rather than a source-free independent paper TFE stage residual.
