version,dirname,stage,method_family,main_improvement,best_metric,order_smooth,order_sharp,current_role,limitation,report
v013,v013_gauss6_quaternion_endpoint_dae,higher_order,Gauss6 endpoint collocation,Added three-stage Gauss-Legendre sixth-order endpoint collocation on the verified quaternion residual,Smooth friction orientation order 5.994; h=0.025 smooth error improves from 2.868e-07 to 3.066e-11,5.994,2.689,Best smooth high-accuracy frictional DAE candidate,Sharp friction remains order-limited; not full TFE/Brown-McPhee model,v013_gauss6_quaternion_endpoint_dae/results/v013_report.md
v014,v014_friction_smoothness_sweep,decision_boundary,Gauss4 vs Gauss6 sweep,Swept friction regularization width to quantify where Gauss6 is worth its extra stages,Gauss6 strong win for eps 1.0/0.5/0.2; useful at 0.1; marginal at 0.05/0.025,6.406,3.878,Smoothness decision rule,Near-nonsmooth behavior needs adaptivity or nonsmooth-aware methods,v014_friction_smoothness_sweep/results/v014_report.md
v015,v015_adaptive_gauss64_endpoint,adaptive,Adaptive embedded Gauss64,Added embedded adaptive Gauss6/Gauss4 endpoint controller for sharp regularized friction,eps=0.05 tol1e-6: 8.713e-09 in 0.472s; eps=0.025: 3.538e-08 in 0.547s,,,Best high-accuracy near-nonsmooth regularized-friction candidate,Not cheapest default; gives up fixed-step symmetry; not true nonsmooth contact,v015_adaptive_gauss64_endpoint/results/v015_report.md
v016,v016_trapezoidal_baseline,baseline_comparison,Reduced Lie-trapezoidal,Added a favorable paper-style low-order implicit trapezoidal baseline with exact reduced constraints,At h=0.025 Gauss6 is 4.84e7x/4.16e7x/8.57e2x lower error for frictionless/smooth/sharp; 20s energy 1.105e-10 vs 4.299e-04,6.004,3.878,Rules out trapezoidal as best candidate,Reduced baseline only; not a full paper TFE/trapezoidal DAE reproduction,v016_trapezoidal_baseline/results/v016_report.md
v017,v017_lie_bdf2_baseline,baseline_comparison,Reduced Lie-BDF2,Implemented a BLieDF/BDF-style reduced Lie-BDF2 baseline with RKMK4 startup,At h=0.025 Gauss6 is 1.87e8x/1.60e8x/3.20e3x lower error for frictionless/smooth/sharp; BDF2 over-damps conservative energy,1.879,1.899,BDF-style robustness baseline ruled out as accuracy winner,Reduced BDF2 only; full constrained BLieDF/TFE/generalized-alpha still open,v017_lie_bdf2_baseline/results/v017_report.md
v018,v018_lobatto_endpoint_baseline,baseline_comparison,Reduced Lie-Lobatto endpoint collocation,Implemented Lobatto endpoint-node collocation to test the paper/TFE Gauss-Lobatto direction,"Lobatto6 reaches sixth order and is accuracy-competitive, but Gauss6 is much faster; sharp h=0.025 Gauss6 error 7.566e-07 in 0.131s vs Lobatto6 9.131e-07 in 0.601s",6.384,3.750,TFE-style endpoint-node baseline ruled out as current accuracy-per-cost winner,Reduced Lobatto only; may still help conditioning in full TFE residual,v018_lobatto_endpoint_baseline/results/v018_report.md
v019,v019_lambda_dependent_friction,friction_dae,Lambda-dependent Stribeck friction,Added multiplier/reaction-load dependent friction directly inside the quaternion endpoint DAE residual,Smooth lambda-friction Gauss6 h=0.025 error 4.350e-11 vs Gauss4 1.634e-07; sharp lambda-friction Gauss6 still cuts error 3.19x,5.410,3.911,Best evidence for AD-friendly multiplier-dependent nonlinear friction loads,Simplified Stribeck-like pivot friction; not exact Brown-McPhee revolute model or contact complementarity,v019_lambda_dependent_friction/results/v019_report.md
v020,v020_adaptive_lambda_friction,adaptive,Adaptive lambda-Gauss64,Combined embedded Gauss6/Gauss4 adaptivity with multiplier-dependent Stribeck-style quaternion endpoint residual,Sharp lambda-friction adaptive tol1e-7 error 2.666e-10 vs fixed Gauss6 h=0.0125 error 1.381e-08; 51.8x lower error at 1.17x runtime,,,Best high-accuracy multiplier-dependent sharp-friction candidate,Adaptive not useful for smooth lambda-friction; still smooth regularized friction rather than complementarity,v020_adaptive_lambda_friction/results/v020_report.md
v021,v021_brown_mcphee_lambda_friction,adaptive,Brown-McPhee lambda-Gauss64,Replaced Gaussian/tanh lambda friction with Brown-McPhee-style continuous velocity friction curve,Sharp Brown-McPhee adaptive tol1e-7 error 1.186e-07 vs fixed Gauss6 h=0.0125 error 5.128e-07; 4.3x lower error at 1.77x runtime,7.569,2.901,Best local Brown-McPhee-style multiplier-dependent sharp-friction candidate,Componentwise fixed-pivot surrogate; not exact revolute-joint Brown-McPhee or stick-slip complementarity,v021_brown_mcphee_lambda_friction/results/v021_report.md
v022,v022_revolute_brown_mcphee,revolute_benchmark,Revolute Brown-McPhee Gauss64,Added paper-like one-DOF revolute pendulum benchmark with Brown-McPhee friction and quaternion output,Sharp revolute Brown-McPhee adaptive tol1e-7 error 3.072e-11 vs fixed Gauss6 h=0.00625 error 3.246e-07; smooth fixed Gauss6 and adaptive tie near 2.8e-12,5.773,2.412,Best paper-like revolute Brown-McPhee sharp-friction evidence,Reduced one-DOF model; not full absolute-coordinate index-3 revolute DAE or complementarity stick-slip,v022_revolute_brown_mcphee/results/v022_report.md
v023,v023_absolute_revolute_dae,absolute_revolute_dae,Absolute-coordinate revolute Gauss DAE,Added a five-constraint absolute-coordinate quaternion revolute DAE with Brown-McPhee friction scaled by stage reaction multipliers,Smooth absolute revolute Gauss6 h=0.0125 orientation error 1.111e-07 vs Gauss4 6.306e-01; sharp Gauss6 h=0.0125 error 4.473e-07 while Gauss4 fails at h=0.025/0.0125,2.661,2.819,First full absolute-coordinate revolute DAE robustness/fidelity test,No endpoint projection; endpoint velocity constraints are not yet controlled tightly and Gauss4 sharp failures reveal formulation fragility,v023_absolute_revolute_dae/results/v023_report.md
v024,v024_absolute_revolute_lobatto_dae,lobatto_full_dae,Direct Lobatto full revolute DAE,Tested direct Lobatto endpoint-node collocation on the full absolute-coordinate revolute residual with zero-safe JAX Lie differentials,Lobatto4/Lobatto6 fail for all smooth and sharp runs; Gauss6 baseline still succeeds with smooth h=0.0125 error 1.111e-07 and sharp h=0.0125 error 4.473e-07,2.661,2.819,Rules out simple Gauss-to-Lobatto node swap as the missing full-DAE improvement,Not a full TFE weighted-residual implementation; direct Lobatto residual is rank-deficient/divergent,v024_absolute_revolute_lobatto_dae/results/v024_report.md
v025,v025_absolute_revolute_projected_dae,projected_full_dae,Projected absolute revolute Gauss DAE,Added SHAKE/RATTLE-style endpoint projection to the full absolute-coordinate revolute DAE while preserving raw Gauss baselines,Projected Gauss6 gives zero endpoint position/velocity drift; sharp projected Gauss4 succeeds at h=0.025/0.0125 where raw Gauss4 fails; sharp projected Gauss6 h=0.0125 error 3.899e-06 vs raw 1.389e-06,2.842,2.841,Practical endpoint-closure repair for the full revolute DAE prototype,Projection changes trajectory and costs accuracy; still not full TFE/index-3 weighted-residual formulation,v025_absolute_revolute_projected_dae/results/v025_report.md
v026,v026_absolute_revolute_stage_velocity_dae,stage_velocity_dae,Stage pivot-velocity full revolute DAE,Replaced stage r-collocation with a square pivot-velocity constraint residual inside the full absolute-coordinate revolute Newton solve,Gauss6 PivotVC h=0.0125 endpoint velocity drift drops from 2.663e-03 to 6.897e-08 smooth and 2.325e-03 to 9.580e-08 sharp; sharp Gauss4 succeeds where raw fails,3.161,2.925,Best non-projection full absolute-coordinate revolute DAE repair so far,Only pivot velocity part is enforced; full lower-pair velocity/acceleration and TFE weighted-residual treatment remain open,v026_absolute_revolute_stage_velocity_dae/results/v026_report.md
v027,v027_absolute_revolute_stage_acceleration_dae,stage_acceleration_dae,Stage pivot-velocity+acceleration full revolute DAE,Replaced stage r-collocation with pivot velocity and stage v-collocation with pivot acceleration in the square full revolute Newton solve,Gauss6 PivotVA h=0.0125 endpoint velocity drift is 5.213e-13 smooth and 1.570e-12 sharp; stage pivot acceleration is about 1e-15; sharp Gauss4 succeeds where raw fails,3.161,2.925,Best non-projection full absolute-coordinate revolute DAE consistency repair so far,Only pivot acceleration part is tested on a one-DOF revolute pendulum; full lower-pair acceleration and TFE weighted-residual treatment remain open,v027_absolute_revolute_stage_acceleration_dae/results/v027_report.md
v028,v028_offaxis_revolute_full_axis_dae,full_axis_dae,Off-axis FullVA revolute DAE,Added off-axis body torque and a square FullVA residual enforcing hinge-axis velocity/acceleration components,"Gauss6 FullVA h=0.0125 reduces stage axis acceleration from PivotVA 6.670e-12 to 1.867e-25 smooth and 5.163e-12 to 2.095e-25 sharp, with unchanged orientation error",6.161,2.955,Off-axis constrained-torque stress test; confirms axis consistency is not the trajectory bottleneck in the one-DOF revolute case,Neutral result for single-joint benchmark; next step is multi-joint/general lower-pair or TFE treatment,v028_offaxis_revolute_full_axis_dae/results/v028_report.md
v029,v029_double_revolute_pivotva_dae,multi_joint_dae,Double-revolute PivotVA full DAE,Applied square PivotVA/FullVA residuals to a two-body ground-plus-interbody revolute DAE with Brown-McPhee friction at both joints,Smooth Gauss6 h=0.02 endpoint velocity drift drops 1.807e-04 to 7.745e-13 and orientation error improves 4.105e-09 to 2.111e-09; sharp drift drops 1.279e-04 to 1.107e-11 with unchanged trajectory error,8.518,1.813,First evidence that PivotVA generalizes to an interbody revolute joint,Planar two-body model only; Gauss6 Jacobian is 138x138 and exposes the need for sparse/block Newton solves,v029_double_revolute_pivotva_dae/results/v029_report.md
v030,v030_double_revolute_jacobian_sparsity,solver_scaling,Double-revolute Jacobian sparsity diagnostics,Measured sparsity/conditioning and dense-vs-CSR solve times for v029 converged first-step Newton systems,Gauss6 FullVA Jacobians are 138x138 and 3.06% dense; smooth dense solve 2.419e-01s vs CSR 1.193e-04s; sharp dense solve 3.126e-01s vs CSR 5.668e-04s,,,Concrete evidence for sparse/block Newton linear algebra as the next scaling target,Still materializes dense AD Jacobian before CSR conversion; needs structured sparse AD or block/matrix-free Newton,v030_double_revolute_jacobian_sparsity/results/v030_report.md
v031,v031_sparse_newton_double_revolute,sparse_newton,Sparse Newton double-revolute,Integrated CSR sparse linear solves into the actual Newton loop for the v029 double-revolute residual,Gauss6 FullVA smooth runtime dense 3.408s vs CSR 0.109s for 31.35x speedup; sharp dense 2.838s vs CSR 0.129s for 22.02x speedup; worst final dense-vs-CSR orientation difference 3.405e-23 rad,,,Best current solver-scaling implementation bridge; sparse Newton preserves trajectory while accelerating Gauss6,Still materializes dense JAX Jacobian and only tests a planar double-revolute chain; needs structured sparse/block AD or Newton-Krylov,v031_sparse_newton_double_revolute/results/v031_report.md
v032,v032_matrix_free_newton_krylov,matrix_free_krylov,Matrix-free Newton-Krylov diagnostic,Tested JAX JVP plus unpreconditioned GMRES to avoid dense Jacobian materialization for Gauss6 FullVA,"JVP matches dense Jacobian-vector products to 5.233e-16 relative error, but GMRES fails after 200 iterations with residual 1.323e+00 smooth and 1.574e+00 sharp while CSR direct solve succeeds in 0.017-0.023s",,,Rules out plain unpreconditioned JVP-GMRES as the next scaling solution; points to preconditioned/block sparse assembly,v032 still has no preconditioner and only single-step Gauss6 FullVA tests; v031 CSR remains best implemented path,v032_matrix_free_newton_krylov/results/v032_report.md
v033,v033_lagged_sparse_newton,lagged_sparse_newton,Lagged sparse Newton diagnostic,Tested modified sparse Newton by reusing CSR Jacobians for two corrections or one full time step,"Lagged variants preserve final orientation to 1e-15 scale and cut Jacobian evaluations by 1.45x-3.2x, but extra Newton corrections offset the saving; best speedup only 1.06x and most variants are slower than fresh CSR",,,Rules out simple Jacobian lagging as a main scaling solution for the current double-revolute system; fresh CSR remains default,Still materializes dense Jacobians when refreshing and only tests small planar double-revolute; structured sparse/block assembly remains needed,v033_lagged_sparse_newton/results/v033_report.md
v034,v034_colored_jvp_sparse_jacobian,colored_sparse_ad,Colored-JVP sparse Jacobian,Tested column-colored JAX JVP sparse Jacobian assembly for Gauss6 FullVA using a warm-up union sparsity pattern,"Pattern has 582 nonzeros and 11 colors; colored JVP matches dense Jacobian to 1e-18--1e-16 relative error and preserves trajectory, but runtime is 0.428-0.432s vs dense jacfwd CSR 0.048-0.064s",,,Correct structured sparse-AD proof of concept; shows generic Python-level coloring is not the small-system speed winner,Requires dense warm-up pattern and many separate JVP calls; next target is hand/block assembly or compiled/batched coloring on larger systems,v034_colored_jvp_sparse_jacobian/results/v034_report.md
v035,v035_batched_colored_jvp,batched_colored_sparse_ad,Batched colored JVP sparse Jacobian,Replaced one-JVP-per-color sparse Jacobian assembly with one compiled vmap(jvp) batch over all color seeds,Batched colored JVP matches dense Jacobian to 4.53e-18 relative error and cuts runtime to 0.035-0.038s vs dense jacfwd CSR 0.088-0.102s,,,Best current structured sparse-AD Newton backend for the double-revolute Gauss6 FullVA residual,Still obtains the sparsity mask from a dense warm-up path and only tests the 138D planar double-revolute topology; needs symbolic/block patterns and larger chains,v035_batched_colored_jvp/results/v035_report.md
v036,v036_symbolic_block_pattern,symbolic_sparse_pattern,Block-symbolic sparse pattern,Replaced dense warm-up sparsity discovery with a conservative hand-derived block-symbolic pattern for the Gauss6 FullVA residual,"Block pattern has 1755 entries and 34 colors vs warm-up 582/11, misses zero dense entries, builds in milliseconds, and remains competitive: sharp block run 0.050s vs dense 0.079s",,,Best current production-style sparse-AD path because it avoids dense pattern discovery while preserving correctness,Pattern is conservative and overcolored; needs finer component-symbolic generation and larger-chain validation,v036_symbolic_block_pattern/results/v036_report.md
v037,v037_jvp_pruned_symbolic_pattern,jvp_pruned_sparse_pattern,JVP-pruned sparse pattern discovery,Used the v036 block-symbolic pattern as a safe superset and pruned it with batched JVP dry-runs instead of dense Jacobian warm-up,JVP-pruned pattern exactly matches dense warm-up union pattern at 582 entries and 11 colors with zero missing entries; pattern build 0.053-0.067s vs dense warm-up 0.952-1.082s,,,Best current sparse pattern discovery path because it avoids dense Jacobian materialization while recovering the exact observed fine pattern,Still path-sampled rather than formal symbolic proof; needs larger-chain validation and cache/reuse policy,v037_jvp_pruned_symbolic_pattern/results/v037_report.md
v038,v038_pattern_cache_reuse,pattern_cache_reuse,Cached JVP-pruned pattern reuse,Discovered one JVP-pruned pattern from a smooth short dry-run and reused it for smooth and sharp longer-horizon solves,"Cached pattern has 582 entries and 11 colors, misses zero entries against T=0.12 dense validation in both smooth and sharp cases, and gives 1.49x runtime speedup vs dense jacfwd CSR",,,Best current production policy for the sparse-AD backend: discover once with JVP pruning and reuse across nearby friction regimes,Only validated on the planar double-revolute benchmark and T=0.12; needs larger topology and broader state coverage,v038_pattern_cache_reuse/results/v038_report.md
v039,v039_triple_revolute_scaling,larger_topology_scaling,Triple-revolute scaling test,Extended the full Gauss6 FullVA sparse-AD benchmark from a two-body double-revolute chain to a three-body triple-revolute chain,"207D Newton system; JVP-pruned pattern has 930 entries and 11 colors, misses zero dense-validation entries, and runtime improves vs dense jacfwd CSR by 1.41x smooth and 1.67x sharp",,,First evidence that the sparse-AD solver path transfers to a real larger multibody topology,Initial pattern discovery uses a full superset and smooth first-build includes JIT compile; needs generated block superset/cache and larger-chain validation,v039_triple_revolute_scaling/results/v039_report.md
v040,v040_generated_block_triple_pattern,generated_block_triple_pattern,Generated block triple sparse pattern,Replaced v039 full-matrix superset with a generated block-dependency superset for triple-revolute sparse pattern discovery,Generated block superset has 2691 entries and 32 colors with zero dense-validation misses; JVP pruning recovers the exact 930-entry/11-color dense pattern and gives 2.14x smooth and 1.78x sharp runtime speedups vs dense jacfwd CSR,,,Best current production-style pattern acquisition path for triple-revolute sparse AD,Still path-sampled over a short planar triple-revolute horizon; needs cache refresh/union rules and larger less-planar lower-pair coverage,v040_generated_block_triple_pattern/results/v040_report.md
v041,v041_triple_pattern_cache_refresh,cache_refresh_policy,Triple-revolute sparse pattern cache refresh,Implemented discover-once cache reuse plus generated-block JVP refresh/union policy for longer and perturbed triple-revolute runs,Smooth short cache transfers to four longer nominal/perturbed smooth/sharp scenarios with zero dense-validation misses; stale-cache audit removes 23 entries and refresh restores all of them; cached runtime is 1.08x-1.54x faster than dense jacfwd CSR,,,"Best current production policy for triple-revolute sparse AD: cache once, scan inside generated block superset, and union new active entries without dense Jacobians",Still planar triple-revolute only; needs less-planar lower-pair systems and larger-chain validation,v041_triple_pattern_cache_refresh/results/v041_report.md
v042,v042_skew_axis_triple_revolute,skew_axis_lower_pair,Skew-axis triple-revolute lower-pair test,Replaced planar/global-axis revolute constraints with parent-child skew-axis alignment for a non-coplanar three-body chain,207D Gauss6 FullVA skew-axis residual; generated block superset has 2907 entries/32 colors with zero dense-validation misses; JVP pruning recovers exact 2181-entry/31-color dense pattern and gives 1.94x-1.98x runtime speedup vs dense jacfwd CSR with endpoint velocity around 1e-16,,,Best current evidence that the sparse-AD/FullVA path extends beyond planar revolute chains to non-coplanar parent-child lower-pair geometry,Only short-horizon three-body skew-axis revolute; needs larger skew-axis chains and other lower pairs such as cylindrical/prismatic,v042_skew_axis_triple_revolute/results/v042_report.md
v043,v043_skew_prismatic_lower_pair,prismatic_lower_pair,Skew prismatic lower-pair test,Added a non-revolute skew-axis prismatic FullVA benchmark with sliding friction and zero-safe Lie differentials,"69D Gauss6 FullVA prismatic residual; generated block superset has 1026 entries/24 colors with zero dense-validation misses; JVP pruning recovers exact 414-entry/18-color dense pattern; dense and sparse trajectories match exactly, but sparse JVP is slower on this small system",,,First non-revolute lower-pair coverage for the quaternion Gauss6 FullVA plus sparse-AD path,Only a single-body prismatic joint; sparse AD is correctness-valid but not faster at 69D and needs interbody prismatic/cylindrical chains,v043_skew_prismatic_lower_pair/results/v043_report.md
v044,v044_double_prismatic_chain,interbody_prismatic_lower_pair,Double-prismatic interbody lower-pair test,Extended v043 to a two-body chain with one ground prismatic joint and one interbody prismatic joint,"138D Gauss6 FullVA double-prismatic residual; generated block superset has 4824 entries/90 colors with zero dense-validation misses; JVP pruning recovers exact 2439-entry/90-color dense pattern; dense and sparse trajectories match to roundoff with endpoint velocity around 1e-16, but warmed sparse runtime is slower than dense jacfwd",,,First interbody non-revolute lower-pair coverage for the quaternion Gauss6 FullVA plus sparse-AD path,Sparse AD is exact but not faster because the prismatic interbody pattern needs 90 colors; needs finer coloring/block structure and mixed revolute-prismatic or cylindrical rotating-axis tests,v044_double_prismatic_chain/results/v044_report.md
v045,v045_row_colored_vjp_prismatic,row_colored_vjp_sparse_ad,Row-colored VJP double-prismatic sparse AD,Replaced v044 column-colored JVP assembly with row-colored batched VJP on the same exact double-prismatic sparse pattern,"Same 138D double-prismatic residual and 2439-entry exact pattern; row coloring reduces seeds from 90 column colors to 54 row colors; row-VJP matches dense trajectory to roundoff and improves smooth runtime only 1.04x vs column-JVP, but remains slower than dense jacfwd",,,Best current diagnostic for the v044 sparse-AD bottleneck: color count can be reduced but reverse-mode overhead keeps dense jacfwd competitive,Still not a speed win; needs component/block assembly or larger systems where row-VJP overhead amortizes,v045_row_colored_vjp_prismatic/results/v045_report.md
v046,v046_asme_four_examples_validation,four_example_validation,ASME rA four-example validation,Validated the upstream SBEL/Negrut ASME rA formulation on single pendulum double pendulum four link and slider crank,"h=[0.02,0.01,0.005] against h=0.001 references; double pendulum passes strict checks with orders 1.124/1.141/1.105 while the other three expose constraint or SO3 tolerance failures",,,Current four-example validation anchor and reproducibility harness for future local method versions,Reproducibility baseline only; not a new Gauss6/FullVA method and not a better-integrator claim,v046_asme_four_examples_validation/results/v046_report.md
