scope,requirement,status,current_rows,proposed_rows,current_unknowns,proposed_extra_unknowns,implemented_in_v047,independent_of_gauss6_row_scaling,numerical_h_sweep_present,evidence,blocking_gap,notes
global,stage_probe_order_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_order_audit.csv,Turn the blockwise probe-order scaling evidence into derived weak/TFE row formulas and solve the accepted h-sweep.,"The non-equivalent endpoint-boundary probe now has a blockwise h-order audit over all six weak/TFE row families and both smooth/sharp cases. This identifies which stage row families dominate the missing term, but it is still scaling evidence rather than the derived variational residual."
global,stage_probe_homotopy_solvability_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_homotopy_audit.csv,Replace beta-continuation solvability evidence by the derived full TFE weak stage residual and its accepted h-sweep.,"A beta homotopy now solves the one-step square residual for beta=0,0.25,0.5,0.75,1 over the smooth/sharp h-sweep, connecting the diagonal-equivalent weighted rows to the solved non-equivalent probe. This shows path solvability, not a final variational derivation."
global,stage_probe_block_activation_solvability_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_block_activation_audit.csv,Replace isolated block-activation solvability evidence by derived weak/TFE formulas for each row family.,"Each of the six non-equivalent endpoint-boundary probe blocks is now activated alone inside the square Newton residual over the smooth/sharp h-sweep. This isolates row-family solvability, but the activated terms are still probe terms rather than derived full-TFE weak stage rows."
global,stage_probe_component_activation_solvability_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_component_activation_audit.csv,Replace targeted component-activation evidence by a derived body0 translational weak-balance row formula.,The dominant body0 translational Newton-Euler source component is now activated alone inside the square Newton residual over the smooth/sharp h-sweep. This verifies the 9-row component target is solvable but still uses the endpoint-boundary probe rather than a derived weak-balance row.
global,stage_probe_component_formula_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_component_formula_audit.csv,Extend the direct body0 translational formula from a targeted weak component to the full independent TFE stage residual.,The dominant body0 translational component is now inserted by its explicit weak-balance formula sqrt(h*b_i)*m0*delta_v0 and solved over the smooth/sharp h-sweep. This removes the masked-probe shortcut for the target component but remains partial because the rest of the stage functional is not yet derived and assembled.
global,stage_probe_newton_euler_formula_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_newton_euler_formula_audit.csv,Extend the direct Newton-Euler weak-balance block formula to the remaining stage row families and solve the accepted full h-sweep.,"The full Newton-Euler weak-balance source block is now inserted by the direct formula sqrt(h*b_i)*concat_i[m_i*delta_v_i, J_i*delta_w_i] and solved over the smooth/sharp h-sweep. This removes the masked-probe shortcut for the dominant 36-row block but remains partial because position, velocity, and constraint row-family formulas are not yet derived and assembled."
global,stage_probe_all_source_formula_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_all_source_formula_audit.csv,Replace the endpoint-boundary all-source formula by a derived full TFE stage functional and solve the accepted full h-sweep.,"All six endpoint-boundary source families are now inserted by explicit source formulas and solved as the 132-row stage-major probe over the smooth/sharp h-sweep. This closes the masked-probe shortcut for the current source model but remains partial because the source model is still endpoint-boundary data, not the derived full TFE weak stage functional."
global,stage_probe_all_source_trajectory_bridge_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_all_source_trajectory_bridge_audit.csv,Replace the endpoint-boundary all-source trajectory formula by a derived full TFE stage functional and accepted full h-sweep.,"The direct all-source formula is now solved over complete smooth/sharp trajectories against same-formula h=0.005 references. This closes the gap between the one-step all-source formula audit and recurrent trajectory evidence, but remains partial because the source model is still endpoint-boundary data rather than the derived full TFE weak stage functional."
global,stage_probe_coupled_budget_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_coupled_budget_audit.csv,Replace coupled budget evidence by derived weak/TFE row formulas and solve the accepted full h-sweep.,"The coupled-budget audit compares isolated block activation norms with the full beta=1 probe. It confirms the coupled one-step probe is explained by the blockwise row-family budget, while the solved h-sweep still records trajectory accumulation rather than a derived stage functional."
global,stage_probe_trajectory_accumulation_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_trajectory_accumulation_audit.csv,Replace trajectory-accumulation evidence by a derived full TFE stage functional solved over the accepted h-sweep.,"The trajectory-accumulation audit compares the local one-step beta=1 probe with the solved h-sweep probe. It quantifies how non-equivalent stage terms accumulate over a trajectory, showing why one-step coupling evidence is not yet a complete full-TFE stage replacement."
global,stage_probe_beta_trajectory_bridge_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_beta_trajectory_bridge_audit.csv,Replace beta-trajectory bridge evidence by a derived full TFE stage functional solved over the accepted h-sweep.,"The beta-trajectory bridge solves complete trajectories for beta=0,0.5,1 and compares each h-sweep against a same-beta reference. This extends the one-step continuation evidence to trajectory level, but the residual still uses the endpoint-boundary probe rather than the derived full-TFE weak rows."
global,independent_stage_functional,missing,132,132,132,0,False,False,False,cylindrical_chain_endpoint_tfe_stage_functional_spec_audit.csv; summary_v047.json:endpoint_tfe_readiness_audit,"Implement the specified stage residual whose translational, rotational, and constraint rows are not obtained by scaling residual_cylindrical_chain.","This is the remaining mathematical implementation gap. v047 now records the independent row-family specification, but the replacement must still assemble the lower-pair FullVA equations directly as TFE/weak rows, then prove or verify that the h-sweep and four-ASME gate still hold."
global,historical_lobatto_tfe_reference,partial,0,0,0,0,True,True,True,v018_lobatto_endpoint_baseline/results/summary_v018.json; v024_absolute_revolute_lobatto_dae/results/summary_v024.json,Port the useful reduced endpoint-node evidence without repeating v024's direct node-swap failure.,"v018 shows endpoint-node Lobatto can be high order in a reduced benchmark; v024 shows a direct full absolute-coordinate node swap fails. The v047 replacement therefore needs the full algebraic TFE residual, not just Lobatto nodes."
global,acceptance_gate_for_full_tfe_stage_replacement,missing,0,6,0,0,False,True,False,future cylindrical_chain_endpoint_tfe_full_stage_replacement_audit.csv,Run the independent residual over smooth and sharp h-sweeps and attach it to the accepted four-ASME gate.,"The completion target is explicit: a future audit must solve the independent full-stage TFE residual for both smooth/sharp cases over at least three h values, keep endpoint residuals below tolerance, and preserve the four-ASME method evidence."
